LocusID f nAlleles x y
Locus0 1 9 24.6033 210.458
Locus0 1 9 31.0048 205.756
Locus0 1 9 -10.6665 220.004
Locus0 1 9 15.9622 212.794
Locus0 1 9 155.902 153.553
Locus0 1 9 93.5239 129.877
Locus0 1 9 139.608 137.946
Locus0 1 9 127.977 146.057
Locus0 1 9 -11.0987 223.225
Locus1 1 9 56.6248 128.875
Locus1 1 9 74.7215 115.06
Locus1 1 9 65.9315 149.91
Locus1 1 9 72.7547 124.711
Locus1 1 9 74.5249 128.237
Locus1 1 9 98.9707 122.066
Locus1 1 9 64.8505 117.97
Locus1 1 9 87.4774 107.329
Locus1 1 9 83.3604 110.912
Locus2 1 9 86.0543 141.933
Locus2 1 9 85.306 77.3993
Locus2 1 9 50.6392 62.5031
Locus2 1 9 60.1283 93.126
Locus2 1 9 86.4381 102.934
Locus2 1 9 99.536 114.518
Locus2 1 9 91.2312 87.5454
Locus2 1 9 87.2611 128.284
Locus2 1 9 93.0565 81.7261
Locus3 1 9 46.4249 23.8804
Locus3 1 9 119.196 45.8816
Locus3 1 9 71.6193 72.386
Locus3 1 9 71.8356 62.216
Locus3 1 9 71.6382 41.2158
Locus3 1 9 89.4692 27.0602
Locus3 1 9 47.0054 24.7561
Locus3 1 9 82.6606 32.8519
Locus3 1 9 99.0372 37.1652
Locus4 1 9 249.754 74.1163
Locus4 1 9 144.538 88.651
Locus4 1 9 139.377 89.2073
Locus4 1 9 125.131 81.9804
Locus4 1 9 213.668 47.8732
Locus4 1 9 151.598 85.7455
Locus4 1 9 99.1608 36.6251
Locus4 1 9 208.464 44.1196
Locus4 1 9 233.58 77.6814
Locus5 1 9 25.2329 138.602
Locus5 1 9 96.2235 82.1484
Locus5 1 9 70.2014 92.686
Locus5 1 9 25.4247 133.937
Locus5 1 9 143.169 151.106
Locus5 1 9 142.244 163.645
Locus5 1 9 20.2334 140.296
Locus5 1 9 18.8954 153.091
Locus5 1 9 12.3997 118.081
Locus6 1 9 522.402 -213.463
Locus6 1 9 530.291 -210.12
Locus6 1 9 352.551 -140.419
Locus6 1 9 339.479 -139.396
Locus6 1 9 115.172 -208.475
Locus6 1 9 351.861 -120.827
Locus6 1 9 531.514 -205.992
Locus6 1 9 525.388 -196.953
Locus6 1 9 393.779 -153.258
Locus7 1 9 82.0048 71.1111
Locus7 1 9 72.9783 49.7203
Locus7 1 9 81.906 112.848
Locus7 1 9 79.265 70.7952
Locus7 1 9 66.2699 71.9637
Locus7 1 9 72.2965 70.6386
Locus7 1 9 93.0784 76.5178
Locus7 1 9 79.2033 64.15
Locus7 1 9 70.2037 68.5042
Locus8 1 9 107.585 95.3443
Locus8 1 9 94.7756 127.632
Locus8 1 9 83.4099 120.707
Locus8 1 9 109.646 100.367
Locus8 1 9 57.164 112.902
Locus8 1 9 53.5432 106.21
Locus8 1 9 84.5134 120.706
Locus8 1 9 88.7863 125.641
Locus8 1 9 84.7999 123.582
Locus9 1 9 14.4648 86.7681
Locus9 1 9 67.7084 85.4321
Locus9 1 9 68.9248 74.395
Locus9 1 9 81.1672 92.4905
Locus9 1 9 70.1083 53.4013
Locus9 1 9 30.9597 84.8783
Locus9 1 9 68.5562 56.7953
Locus9 1 9 39.4985 103.002
Locus9 1 9 38.5472 105.487
Locus10 1 9 30.0087 37.2962
Locus10 1 9 9.74288 88.5148
Locus10 1 9 105.054 82.0753
Locus10 1 9 112.793 106.583
Locus10 1 9 100.737 104.729
